193.615515424  (0.104929175642+0j)
(0.078358+0j)  (0.254858+0j)

198.937997623  (0.110135751612+0j)
(0.0675947+0j)  (0.271358+0j)

207.346103705  (0.100239466218+0j)
(0.0602915+0j)  (0.263602+0j)

213.636934714  (0.111877988367+0j)
(0.0788548+0j)  (0.248242+0j)

221.789302367  (0.094953011064+0j)
(0.0632969+0j)  (0.25999+0j)

228.617076457  (0.097997230642+0j)
(0.0746797+0j)  (0.256477+0j)

235.643623727  (0.0942485753228+0j)
(0.0655101+0j)  (0.277952+0j)

242.071393172  (0.0815641739789+0j)
(0.0570821+0j)  (0.255667+0j)

248.139084528  (0.0895961312687+0j)
(0.0500251+0j)  (0.256045+0j)

253.783479826  (0.0855044617372+0j)
(0.0606229+0j)  (0.274668+0j)

259.167419262  (0.0899318807265+0j)
(0.0613022+0j)  (0.25925+0j)

264.061473642  (0.0812564316918+0j)
(0.0561091+0j)  (0.258099+0j)

267.213010836  (0.0897501636954+0j)
(0.0572237+0j)  (0.257529+0j)

272.056451284  (0.0949346423149+0j)
(0.0744747+0j)  (0.254266+0j)

275.529652487  (0.0802793011946+0j)
(0.0567773+0j)  (0.252233+0j)

280.820405724  (0.0835199846941+0j)
(0.0524316+0j)  (0.256503+0j)

285.526858002  (0.095309047138+0j)
(0.0625471+0j)  (0.258365+0j)

290.384778542  (0.0934335203732+0j)
(0.0608988+0j)  (0.260464+0j)

294.705606431  (0.0833702948358+0j)
(0.0606365+0j)  (0.250063+0j)

299.275721503  (0.0937752232832+0j)
(0.0615977+0j)  (0.264933+0j)

304.461984342  (0.109416519894+0j)
(0.0667053+0j)  (0.278171+0j)

308.550533944  (0.0982081492742+0j)
(0.0651921+0j)  (0.267708+0j)

