250.0  (0.763604998589+0j)
(0.669184+0j)  (0.858026+0j)

260.0  (0.235690891743+0j)
(0.193791+0j)  (0.277591+0j)

270.0  (0.274360567331+0j)
(0.230837+0j)  (0.317884+0j)

280.0  (0.230730459094+0j)
(0.0619519+0j)  (0.399509+0j)

290.0  (0.169709771872+0j)
(0.109842+0j)  (0.229577+0j)

300.0  (0.150260835886+0j)
(0.0510073+0j)  (0.249514+0j)

320.0  (0.207955732942+0j)
(0.113421+0j)  (0.30249+0j)

330.0  (0.219797104597+0j)
(0.114706+0j)  (0.324888+0j)

340.0  (0.24006010592+0j)
(0.0493969+0j)  (0.430723+0j)

350.0  (0.183372825384+0j)
(0.0363294+0j)  (0.330416+0j)

2.0  (0.389743328094+0j)
(0.354919+0j)  (0.424567+0j)

10.0  (0.252438604832+0j)
(0.243628+0j)  (0.26125+0j)

20.0  (0.191682785749+0j)
(0.143332+0j)  (0.240034+0j)

28.0  (0.202471464872+0j)
(0.108448+0j)  (0.296495+0j)

40.0  (0.472318947315+0j)
(0.461613+0j)  (0.483025+0j)

50.0  (0.611929655075+0j)
(0.562259+0j)  (0.6616+0j)

